symbol,expansion
α,alfa
β,beta
Γ,gama
γ,gama
Δ,delta
δ,delta
ε,epsilon
ζ,zeta
η,eta
Θ,teta
θ,teta
ι,jota
κ,kapa
Λ,lambda
λ,lambda
μ,mü
Ξ,ksi
ξ,ksi
Π,pi
π,pi
ρ,ro
Σ,sigma
σ,sigma
τ,tau
υ,ypsilon
Φ,fi
φ,fi
χ,chi
Ψ,psi
ψ,psi
Ω,omega
ω,omega
Ϝ,digama
ϝ,digama
Ϛ,stigma
ϛ,stigma
Ͱ,heta
ͱ,heta
Ϻ,san
ϻ,san
Ϙ,kopa
ϙ,kopa
Ͳ,sampi
ͳ,sampi
Ϸ,šo
ϸ,šo
☺,woblicko
☻,carne woblicko
♥,wutšobicka
♦,karo
♣,duby
♠,pik
♂,muskece
♀,žeńskece
♪,nota
♫,dwě nośe
☼,słyńcko
►,wótgrawaj
◄,slědk
‼,dwójny wuwołak
¶,nowy wótstawk
§,paragraf
↑,górjej
↓,dołoj
→,napšawo
←,nalěwo
#,ruta
€,eurow
$,dolarow
£,funtow
%,procentow
&,a
*,gwězdka
+,plus
<,mjeńše ako
=,rowna se
>,wětše ako
@,et
\,beksleš
^,wušej 
~,tilda
°,stopnjow
"°C",stopnjow Celsius
"°K",stopnjow Kelvin
"°F",stopnjow Fahrenheit
"° C",stopnjow Celsius
"° K",stopnjow Kelvin
"° F",stopnjow Fahrenheit
